interval_no,interval_name,myr_bin_name,myr_bin_no
380,Cowleigh Park,Silurian 1,10
192,Hirnantian,Ordovician 5,9
29,Late Ordovician,Ordovician 5,9
326,Kosov,Ordovician 5,9
336,Porkuni,Ordovician 5,9
1011,late Late Ordovician,Ordovician 5,9
592,Kosovian,Ordovician 5,9
353,Gamach,Ordovician 5,9
63,Ashgill,Ordovician 5,9
564,Gamachian,Ordovician 5,9
610,Wufeng,Ordovician 5,9
606,Qiantianjiang,Ordovician 5,9
565,Richmondian,Ordovician 5,9
597,Bolindian,Ordovician 5,9
638,Ashgillian,Ordovician 5,9
621,Chientangkiangian,Ordovician 5,9
354,Richmond,Ordovician 5,9
194,Cautleyan,Ordovician 5,9
327,Kraluv Dvur,Ordovician 5,9
195,Pusgillian,Ordovician 5,9
337,Pirgu,Ordovician 5,9
593,Kralodvorian,Ordovician 5,9
355,Maysville,Ordovician 4,8
196,Onnian,Ordovician 4,8
339,Nabala,Ordovician 4,8
566,Maysvillian,Ordovician 4,8
577,Streffordian,Ordovician 4,8
598,Eastonian,Ordovician 4,8
343,Johvi,Ordovician 4,8
594,Berounian,Ordovician 4,8
617,Hanjiang,Ordovician 4,8
639,Caradocian,Ordovician 4,8
567,Chatfieldian,Ordovician 4,8
622,Neichiashanian,Ordovician 4,8
557,Wildernessian,Ordovician 4,8
204,Middle Llandeilo,Ordovician 4,8
345,Kukruse,Ordovician 4,8
627,Haljala,Ordovician 4,8
568,Turinian,Ordovician 4,8
558,Ashbyan,Ordovician 4,8
646,Shermanian,Ordovician 4,8
64,Caradoc,Ordovician 4,8
356,Edenian,Ordovician 4,8
647,Blackriveran,Ordovician 4,8
642,Franklinian,Ordovician 4,8
554,Trentonian,Ordovician 4,8
643,Kirkfieldian,Ordovician 4,8
203,Late Llandeilo,Ordovician 4,8
644,Rocklandian,Ordovician 4,8
198,Marshbrookian,Ordovician 4,8
340,Rakvere,Ordovician 4,8
578,Cheneyan,Ordovician 4,8
588,Woolstonian,Ordovician 4,8
197,Actonian,Ordovician 4,8
341,Oandu,Ordovician 4,8
561,Mohawkian,Ordovician 4,8
